Num,Timestamp,C0,T0,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,S0,S1,S2,S3,S4,S5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
721,2022-10-26T08:29:26.405Z,2.56661105155944mA,30.25°,-3.54462146759033mA,32.1875°,-1.62999272346496mA,32.5°,-1.60102272033691mA,35.625°,-1.74929094314575mA,36.5°,-0.0587298534810543mA,35.6875°,7.92071950854733e-05m/s,-0.041589543223381m/s,2.4827537536621m/s,-0.629652559757232m/s,-0.000252698955591768m/s,0.63309496641159m/s,0.0928302407264709mA,27,0,FALSE
722,2022-10-26T08:29:27.408Z,-0.249283626675605mA,30.25°,-2.24336433410644mA,32.1875°,-1.05043506622314mA,32.5°,-0.966983616352081mA,35.625°,0.750108242034912mA,36.5°,-0.321266233921051mA,35.6875°,0.151936560869216m/s,0.01102074701339m/s,0.00148798490408808m/s,-0.396921783685684m/s,-0.0841532498598098m/s,0.214508906006813m/s,0.0850195884704589mA,27,0,FALSE
723,2022-10-26T08:29:28.409Z,-0.00521455146372318mA,30.3125°,-2.26666069030761mA,32.1875°,-0.4896040558815mA,32.5°,0.0521519631147384mA,35.625°,-0.106903716921806mA,36.5°,-0.191584467887878mA,35.6875°,-0.0128865502774715m/s,0.00596927711740136m/s,-0.0111612882465124m/s,0.00192814355250447m/s,-0.000652052811346948m/s,0.00080338551197201m/s,0.189496517181396mA,27,0,FALSE
724,2022-10-26T08:29:29.417Z,-0.355167359113693mA,30.3125°,-2.69414663314819mA,32.1875°,-0.637024521827697mA,32.5°,-0.272155255079269mA,35.625°,0.147640228271484mA,36.5°,0.143042981624603mA,35.6875°,-0.311845868825912m/s,0.00128489849157631m/s,-0.00802859105169773m/s,0.193529114127159m/s,0.00950677786022424m/s,0.118189923465251m/s,0.0834115147590637mA,27,0,FALSE
725,2022-10-26T08:29:30.425Z,-0.256693482398986mA,30.3125°,-2.72755122184753mA,32.1875°,-0.913725018501281mA,32.5°,-0.500906586647033mA,35.625°,0.0117821572348475mA,36.5°,0.0827105045318603mA,35.6875°,-0.00110721716191619m/s,0.0m/s,-9.1189271188341e-05m/s,2.2567681298824e-05m/s,8.46168768475763e-05m/s,0.00029397354228422m/s,0.082559585571289mA,27,0,FALSE
726,2022-10-26T08:29:31.429Z,-0.192033872008323mA,30.25°,-2.48383164405822mA,32.1875°,-1.00012469291687mA,32.5°,-0.451584935188293mA,35.625°,-0.00191754847764968mA,36.5°,0.0507880449295043mA,35.6875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0972428917884826mA,27,0,FALSE
727,2022-10-26T08:29:32.433Z,-0.0621809065341949mA,30.25°,-1.31947147846221mA,32.1875°,-0.950623750686645mA,32.5625°,-0.734428465366363mA,35.625°,0.000514356361236423mA,36.5°,-0.0147254802286624mA,35.6875°,0.0619331710040569m/s,0.0m/s,0.000863299879711121m/s,-0.0825192704796791m/s,-0.00279257935471832m/s,-0.000154510184074752m/s,0.0857853293418884mA,28,0,FALSE
728,2022-10-26T08:29:33.436Z,0.18295519053936mA,30.3125°,-2.46474552154541mA,32.25°,-1.29448866844177mA,32.5°,-0.816909432411193mA,35.625°,-0.00794919952750206mA,36.5°,-0.140670463442802mA,35.75°,-0.000738469825591892m/s,0.0m/s,0.00010706705506891m/s,-2.42690068041895e-09m/s,0.0m/s,-0.000184877237188629m/s,0.179991722106933mA,28,0,FALSE
729,2022-10-26T08:29:34.443Z,0.539682030677795mA,30.25°,-3.55083990097045mA,32.1875°,-2.49718713760375mA,32.5625°,-0.678369283676147mA,35.625°,-1.61615490913391mA,36.5°,0.251761108636856mA,35.6875°,-0.498279124498367m/s,-0.143639907240867m/s,-0.0639383643865585m/s,0.888684213161468m/s,0.176579847931861m/s,-0.333954393863678m/s,0.077639639377594mA,28,0,FALSE
730,2022-10-26T08:29:35.443Z,0.796032905578613mA,30.3125°,-3.00992202758789mA,32.25°,-2.41375541687011mA,32.5°,-1.12910962104797mA,35.625°,-2.20336604118347mA,36.5°,0.100839063525199mA,35.6875°,-0.00218814867548644m/s,-0.212088286876678m/s,0.0473170951008796m/s,-0.011940867640078m/s,-8.44843441427656e-07m/s,0.00554683525115251m/s,0.082559585571289mA,28,0,FALSE
731,2022-10-26T08:29:36.444Z,0.927334010601043mA,30.3125°,-2.49339723587036mA,32.25°,-1.55265080928802mA,32.5625°,-1.73708462715148mA,35.625°,-1.21055686473846mA,36.5°,0.233609855175018mA,35.75°,0.108564525842666m/s,-0.103892385959625m/s,0.0400668978691101m/s,-0.620344877243042m/s,0.0378260910511016m/s,0.579582452774047m/s,0.0845122933387756mA,28,0,FALSE
732,2022-10-26T08:29:37.450Z,0.854948997497558mA,30.3125°,-0.284787863492965mA,32.25°,-0.358238697052001mA,32.5625°,-0.5484060049057mA,35.625°,-1.23712635040283mA,36.5625°,0.216567173600196mA,35.75°,0.00846210122108459m/s,0.000897344551049172m/s,0.00577408960089087m/s,0.000927812070585787m/s,0.000315697659971192m/s,0.000167917896760627m/s,0.482386529445648mA,28,0,FALSE
733,2022-10-26T08:29:38.455Z,-0.18151381611824mA,30.3125°,-2.30509352684021mA,32.25°,-1.08037710189819mA,32.5625°,-0.498731940984725mA,35.6875°,-0.00338594592176377mA,36.5°,0.0737887918949127mA,35.75°,0.0m/s,-2.99037092286915e-42m/s,0.0m/s,2.22471340123858e-15m/s,0.0m/s,0.0m/s,0.083918809890747mA,28,0,FALSE
734,2022-10-26T08:29:39.458Z,-0.123434714972972mA,30.375°,-2.1710021495819mA,32.25°,-1.06791305541992mA,32.5625°,-0.54149329662323mA,35.6875°,0.00917669106274843mA,36.5°,0.0175144895911216mA,35.6875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0865510702133178mA,28,0,F
735,2022-10-26T08:29:40.461Z,-0.176777303218841mA,30.3125°,-2.53232407569885mA,32.25°,-1.21046900749206mA,32.5625°,-0.38417774438858mA,35.6875°,0.013307811692357mA,36.5625°,-0.0246825031936168mA,35.75°,-0.0059346086345613m/s,0.0m/s,2.48239536565497e-11m/s,0.0222076829522848m/s,0.0m/s,-0.0107336472719907m/s,0.0852779746055603mA,28,0,FALSE
736,2022-10-26T08:29:41.463Z,-0.406691133975982mA,30.3125°,-2.55844736099243mA,32.25°,-1.62120914459228mA,32.5625°,-0.192833080887794mA,35.625°,0.163439437747001mA,36.5625°,-0.183376491069793mA,35.75°,-0.153596878051757m/s,0.00738337729126215m/s,-0.0302997678518295m/s,0.625255703926086m/s,-0.0246508754789829m/s,-0.506658136844635m/s,0.0857853293418884mA,28,0,FALSE
737,2022-10-26T08:29:42.478Z,-0.14889146387577mA,30.3125°,-1.92753136157989mA,32.25°,-1.93383431434631mA,32.5625°,-0.32768428325653mA,35.6875°,0.155736580491065mA,36.5625°,-0.146804019808769mA,35.75°,0.0749162510037422m/s,0.000884927459992468m/s,-0.00315183983184397m/s,0.210595890879631m/s,-0.00650451844558119m/s,-0.273073881864547m/s,0.0902841091156005mA,28,0,FALSE
738,2022-10-26T08:29:43.485Z,-0.124844253063201mA,30.3125°,-1.39952182769775mA,32.25°,-0.586586594581604mA,32.5625°,-0.763959884643554mA,35.6875°,0.156999543309211mA,36.5625°,-0.16948726773262mA,35.75°,0.0235604960471391m/s,0.0274474509060382m/s,0.00270311161875724m/s,-0.101175636053085m/s,-0.0230814088135957m/s,0.0699653774499893m/s,0.0868860483169555mA,28,0,FALSE
739,2022-10-26T08:29:44.486Z,-0.377170205116272mA,30.375°,-2.27393078804016mA,32.25°,-1.52482628822326mA,32.5625°,-0.262807577848434mA,35.6875°,-0.252765774726867mA,36.5625°,0.177340537309646mA,35.75°,-0.227681830525398m/s,-0.0502631068229675m/s,-0.0378756932914257m/s,0.489151686429977m/s,0.0940016210079193m/s,-0.228613182902336m/s,0.088331401348114mA,28,0,FALSE
740,2022-10-26T08:29:45.489Z,-0.0667252913117408mA,30.3125°,-1.98676526546478mA,32.25°,-1.63908696174621mA,32.5625°,-0.438537538051605mA,35.6875°,0.00590827874839305mA,36.5625°,0.0342383570969104mA,35.75°,0.0m/s,-0.00592984165996313m/s,0.00738351512700319m/s,0.000347660563420504m/s,1.69291044678527e-21m/s,-0.00208092504180967m/s,0.0839188694953918mA,28,0,FALSE
741,2022-10-26T08:29:46.495Z,0.365717023611068mA,30.3125°,-2.87118601799011mA,32.25°,-0.308734387159347mA,32.5625°,-0.970864415168762mA,35.6875°,-0.152213454246521mA,36.5625°,0.198926985263824mA,35.75°,-0.180857703089714m/s,-0.0539034344255924m/s,0.0422444231808185m/s,-0.874284744262695m/s,0.04058338701725m/s,1.01705420017242m/s,0.0882453322410583mA,28,0,FALSE
742,2022-10-26T08:29:47.497Z,-0.0629086345434188mA,30.375°,-1.64389944076538mA,32.25°,-0.833404302597045mA,32.625°,-0.646086692810058mA,35.6875°,-0.127180725336074mA,36.5625°,0.123062789440155mA,35.75°,-1.57778958964627e-05m/s,-0.000217484950553625m/s,-2.42077894654357e-05m/s,-0.00045685181976296m/s,6.50279398541897e-05m/s,-6.24100503046065e-05m/s,0.0788266062736511mA,28,0,FALSE
743,2022-10-26T08:29:48.497Z,-0.097505047917366mA,30.3125°,-1.60148298740386mA,32.25°,-0.763060271739959mA,32.5625°,-0.651246428489685mA,35.6875°,-0.0887867286801338mA,36.5625°,0.0014116195961833mA,35.8125°,0.0m/s,-8.0032485309845e-39m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.172353327274322mA,28,0,FALSE
744,2022-10-26T08:29:49.512Z,0.556764721870422mA,30.375°,-1.46826076507568mA,32.3125°,-0.572423458099365mA,32.5625°,-0.229253113269805mA,35.6875°,-0.906126856803894mA,36.5625°,0.174834996461868mA,35.75°,0.0m/s,-0.000131985027110204m/s,0.00111594679765403m/s,0.00103203940670937m/s,0.000295382720651105m/s,0.00027556563145481m/s,0.499443590641021mA,28,0,FALSE
745,2022-10-26T08:29:50.517Z,1.37371218204498mA,30.375°,-3.09354734420776mA,32.3125°,-2.11155605316162mA,32.5625°,-1.3887345790863mA,35.6875°,0.132272243499755mA,36.5625°,-0.0449698641896247mA,35.8125°,0.00798828527331352m/s,-0.00214493344537913m/s,0.0228864327073097m/s,0.0127658136188983m/s,-0.000494526524562388m/s,0.0154237914830446m/s,0.0882453322410583mA,28,0,FALSE
746,2022-10-26T08:29:51.518Z,-0.787493467330932mA,30.375°,-2.7382481098175mA,32.3125°,-1.79110217094421mA,32.5625°,-1.80553483963012mA,35.6875°,0.349549025297164mA,36.625°,-0.199094712734222mA,35.75°,0.0566499382257461m/s,0.116398461163043m/s,-0.0373151265084743m/s,-0.168527096509933m/s,-0.0305518638342618m/s,0.120340347290039m/s,0.0857853293418884mA,28,0,FALSE
747,2022-10-26T08:29:52.520Z,0.807442903518676mA,30.3125°,-0.555646121501922mA,32.3125°,-0.82240343093872mA,32.5625°,-1.84044933319091mA,35.75°,-1.08733963966369mA,36.625°,-0.154335916042327mA,35.75°,0.0463368520140647m/s,0.00413166545331478m/s,0.0142657188698649m/s,-0.0765347331762313m/s,-0.0149257322773337m/s,0.0142108118161559m/s,0.083239197731018mA,28,0,FALSE
748,2022-10-26T08:29:53.521Z,-0.234655976295471mA,30.3125°,-2.70790433883667mA,32.3125°,-0.689103960990905mA,32.5625°,-0.338266044855117mA,35.6875°,0.0732565000653266mA,36.625°,0.110007241368293mA,35.75°,-0.126603558659553m/s,0.000771612219978123m/s,-0.00285703688859939m/s,0.0672214180231094m/s,0.00463908864185214m/s,0.0718331560492515m/s,0.0813727378845214mA,28,0,FALSE
749,2022-10-26T08:29:54.521Z,-0.188763082027435mA,30.3125°,-2.55225706100463mA,32.3125°,-0.95102721452713mA,32.625°,-0.386358648538589mA,35.75°,0.0697971880435943mA,36.625°,0.157147139310836mA,35.8125°,-0.0522634908556938m/s,0.000416020862758159m/s,-0.000852321507409215m/s,0.0524237006902694m/s,0.00275955046527087m/s,0.00193833070807158m/s,0.0827319025993347mA,28,0,FALSE
750,2022-10-26T08:29:55.528Z,-0.175738036632537mA,30.3125°,-2.53272581100463mA,32.3125°,-1.03474628925323mA,32.5625°,-0.455625236034393mA,35.75°,0.0239657089114189mA,36.625°,0.0704443231225013mA,35.8125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.087651789188385mA,28,0,FALSE
751,2022-10-26T08:29:56.530Z,-0.136716023087501mA,30.3125°,-2.26912403106689mA,32.3125°,-1.09116268157958mA,32.5625°,-0.512948095798492mA,35.75°,0.0118179526180028mA,36.625°,0.0203202664852142mA,35.8125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0966494083404541mA,28,0,FALSE
752,2022-10-26T08:29:57.533Z,0.164417386054992mA,30.375°,-2.17077302932739mA,32.3125°,-1.24240231513977mA,32.625°,-0.773650527000427mA,35.75°,-0.0416501611471176mA,36.625°,-0.182624831795692mA,35.8125°,-0.000369363609934225m/s,-3.563825157471e-05m/s,0.00169297936372458m/s,-0.00061938859289512m/s,-0.000130165251903235m/s,-7.75023145251907e-05m/s,0.192042708396911mA,29,0,FALSE
753,2022-10-26T08:29:58.535Z,0.774747848510742mA,30.375°,-1.71003293991088mA,32.3125°,-0.593782305717468mA,32.625°,-0.0930902287364006mA,35.75°,-1.57452344894409mA,36.625°,-0.291441202163696mA,35.8125°,0.00103474152274429m/s,0.0m/s,-1.04073615148081e-05m/s,9.13705298444256e-05m/s,-2.6805957453746e-10m/s,0.00101104285567998m/s,0.491805255413055mA,29,0,FALSE
754,2022-10-26T08:29:59.538Z,0.567557096481323mA,30.375°,-1.44683110713958mA,32.3125°,-0.724393248558044mA,32.625°,1.73466885089874mA,35.75°,-1.35573577880859mA,36.625°,-0.0141048841178417mA,35.8125°,0.0866694748401641m/s,0.090738832950592m/s,-2.61462664604187m/s,0.395046263933181m/s,0.000102909172710496m/s,-0.498281687498092m/s,0.0890971422195434mA,29,0,FALSE
755,2022-10-26T08:30:00.539Z,0.115036822855472mA,30.375°,-4.55826568603515mA,32.25°,-1.63277435302734mA,32.5625°,-1.76081919670104mA,35.75°,0.584562361240387mA,36.625°,0.216428697109222mA,35.8125°,-0.0415676049888134m/s,0.0324917659163475m/s,0.000600313360337168m/s,-0.465221524238586m/s,0.0235000159591436m/s,0.497700542211532m/s,0.0933375358581543mA,29,0,FALSE
756,2022-10-26T08:30:01.540Z,-0.446688711643219mA,30.375°,-2.26907229423522mA,32.3125°,-0.839298844337463mA,32.625°,-1.13939380645751mA,35.75°,0.265896886587142mA,36.625°,0.225267440080642mA,35.8125°,0.11215691268444m/s,0.0982622355222702m/s,-0.0137573666870594m/s,-0.16952060163021m/s,0.0104399817064404m/s,0.143312871456146m/s,0.0927440524101257mA,29,0,FALSE
757,2022-10-26T08:30:02.541Z,-0.192880481481552mA,30.375°,-2.15694570541381mA,32.3125°,-1.07068073749542mA,32.625°,-0.547607064247131mA,35.75°,0.0443593673408031mA,36.6875°,-0.028043944388628mA,35.8125°,0.0m/s,-3.09266571076487e-42m/s,0.0m/s,4.69400874862913e-05m/s,0.0m/s,-0.000103687212686054m/s,0.173712611198425mA,29,0,FALSE
758,2022-10-26T08:30:03.555Z,-0.189964145421981mA,30.375°,-1.81101632118225mA,32.3125°,-1.09019100666046mA,32.625°,-0.525741636753082mA,35.75°,0.0394416525959968mA,36.6875°,0.036799244582653mA,35.8125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0870583653450012mA,29,0,FALSE
759,2022-10-26T08:30:04.556Z,-0.166340380907058mA,30.375°,-1.8481695652008mA,32.3125°,-1.09962546825408mA,32.625°,-0.519888758659362mA,35.75°,0.0269820503890514mA,36.6875°,0.0702036768198013mA,35.8125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,1.4750067635483e-41m/s,0.0m/s,0.088417649269104mA,29,0,FALSE
760,2022-10-26T08:30:05.556Z,-0.222564905881881mA,30.375°,-2.56179523468017mA,32.375°,-1.42975234985351mA,32.625°,-0.271412998437881mA,35.75°,0.0639487281441688mA,36.6875°,-0.163169756531715mA,35.8125°,-0.166553303599357m/s,0.00258476193994283m/s,-0.0153205608949065m/s,0.352877885103225m/s,-0.0104557024314999m/s,-0.192528292536735m/s,0.0862926840782165mA,29,0,FALSE
761,2022-10-26T08:30:06.563Z,-0.171098977327346mA,30.375°,-1.727543592453mA,32.3125°,-1.94626593589782mA,32.6875°,-0.215066596865654mA,35.75°,0.10445687174797mA,36.6875°,-0.179969027638435mA,35.8125°,0.0962657257914543m/s,0.00428763357922434m/s,-0.0162920225411653m/s,0.49337214231491m/s,-0.0172491073608398m/s,-0.588420271873474m/s,0.0851919054985046mA,29,0,FALSE
762,2022-10-26T08:30:07.566Z,0.885710835456848mA,30.4375°,-1.86966943740844mA,32.3125°,-0.610166788101196mA,32.6875°,-0.779571771621704mA,35.75°,-0.154206305742263mA,36.6875°,-0.0424079447984695mA,35.8125°,0.00326880137436091m/s,-0.00620712619274854m/s,2.59812760353088m/s,-0.578853011131286m/s,-1.30406981803279e-14m/s,0.643548190593719m/s,0.0883314609527587mA,29,0,FALSE
763,2022-10-26T08:30:08.569Z,-0.391793340444564mA,30.4375°,-3.2212438583374mA,32.375°,-1.04515385627746mA,32.6875°,-0.409926116466522mA,35.75°,-0.111592918634414mA,36.6875°,0.178934007883071mA,35.875°,-0.235653847455978m/s,-0.0304287709295749m/s,-0.0340487547218799m/s,0.237251922488212m/s,0.0637222751975059m/s,0.0154766654595732m/s,0.0856130123138427mA,29,0,FALSE
764,2022-10-26T08:30:09.574Z,-0.851440846920013mA,30.375°,-1.69152069091796mA,32.375°,-1.67834866046905mA,32.6875°,-0.092877373099327mA,35.75°,0.2506123483181mA,36.6875°,0.0512873083353042mA,35.875°,0.10283338278532m/s,0.149074301123619m/s,-2.52102494239807m/s,0.389997512102127m/s,0.0m/s,-0.493483215570449m/s,0.0869722366333007mA,29,0,FALSE
765,2022-10-26T08:30:10.577Z,-0.103105589747428mA,30.4375°,-1.84613466262817mA,32.375°,-1.58019185066223mA,32.625°,-0.467934012413024mA,35.75°,0.0955647379159927mA,36.6875°,0.0236691292375326mA,35.8125°,0.0m/s,6.43985503902276e-20m/s,4.07230571150291e-14m/s,0.0m/s,0.0m/s,1.25617817084631e-33m/s,0.0863787531852722mA,29,0,FALSE
766,2022-10-26T08:30:11.578Z,0.319524109363555mA,30.4375°,-1.8626537322998mA,32.3125°,-0.731840133666992mA,32.6875°,-0.877639353275299mA,35.75°,-0.144699066877365mA,36.6875°,0.189714565873146mA,35.875°,0.190771624445915m/s,-0.0370433665812015m/s,0.0308046136051416m/s,-0.404573947191238m/s,0.0164394583553075m/s,0.211391046643257m/s,0.0934236645698547mA,29,0,FALSE
767,2022-10-26T08:30:12.581Z,-0.101680636405944mA,30.375°,-1.597372174263mA,32.375°,-0.785938501358032mA,32.6875°,-0.655156552791595mA,35.8125°,-0.125602513551712mA,36.6875°,0.0110770370811223mA,35.8125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,7.87134004133594e-21m/s,0.0857852697372436mA,29,0,FALSE
768,2022-10-26T08:30:13.590Z,-0.0550338476896286mA,30.375°,-1.6525090932846mA,32.375°,-0.789062142372131mA,32.6875°,-0.658553957939148mA,35.75°,-0.0992380082607269mA,36.6875°,-0.00360508961603045mA,35.875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.183217465877532mA,29,0,FALSE
769,2022-10-26T08:30:14.593Z,0.264789342880249mA,30.4375°,-5.16491603851318mA,32.375°,-3.91377925872802mA,32.6875°,-1.36800515651702mA,35.75°,-0.437111377716064mA,36.75°,-0.126678079366683mA,35.875°,-0.0327011123299598m/s,-0.0161677803844213m/s,-0.0507247522473335m/s,1.10831940174102m/s,-0.0398841723799705m/s,-1.04565811157226m/s,0.0896044969558715mA,29,0,FALSE
770,2022-10-26T08:30:15.596Z,0.165082439780235mA,30.375°,-2.56525564193725mA,32.375°,-0.218295708298683mA,32.6875°,0.326531529426574mA,35.8125°,0.824856877326965mA,36.75°,-0.108400493860244mA,35.8125°,0.00528388191014528m/s,0.110288739204406m/s,2.60834455490112m/s,-0.489418476819992m/s,-0.000566621602047234m/s,0.702673494815826m/s,0.0817938446998596mA,29,0,FALSE
771,2022-10-26T08:30:16.598Z,0.116248041391372mA,30.4375°,-2.48878479003906mA,32.3125°,-1.44054174423217mA,32.75°,-1.44226992130279mA,35.8125°,0.33601301908493mA,36.75°,-0.198841601610183mA,35.8125°,0.193504109978675m/s,-0.0596195124089717m/s,0.0216953959316015m/s,-0.37629097700119m/s,-0.0838714838027954m/s,0.11461467295885m/s,0.087651789188385mA,29,0,FALSE
772,2022-10-26T08:30:17.601Z,-0.0819681137800216mA,30.4375°,-2.76816344261169mA,32.375°,-1.31107258796691mA,32.75°,-0.743294715881347mA,35.8125°,0.0356210395693779mA,36.75°,0.02095627784729mA,35.875°,-7.8931865573395e-05m/s,0.000275908503681421m/s,-0.000470993836643174m/s,-0.00011622372403508m/s,0.000230809338972903m/s,-0.00291636446490883m/s,0.164121568202972mA,29,0,FALSE
773,2022-10-26T08:30:18.610Z,-0.133060067892074mA,30.4375°,-2.70904636383056mA,32.375°,-0.884573936462402mA,32.6875°,-0.342799007892608mA,35.8125°,0.10690252482891mA,36.75°,0.15120281279087mA,35.875°,-0.273351281881332m/s,0.000920938095077872m/s,-0.0065590189769864m/s,0.232018858194351m/s,0.00904677435755729m/s,0.0518441870808601m/s,0.0857853293418884mA,29,0,FALSE
774,2022-10-26T08:30:19.616Z,-0.19090324640274mA,30.4375°,-2.65109324455261mA,32.375°,-0.955216109752655mA,32.75°,-0.425972461700439mA,35.8125°,-0.0111511722207069mA,36.75°,0.0859782397747039mA,35.875°,0.0m/s,0.0m/s,0.0m/s,2.01319097839752e-14m/s,0.0m/s,0.0m/s,0.0795062184333801mA,29,0,FALSE
775,2022-10-26T08:30:20.619Z,-0.155959010124206mA,30.4375°,-2.42264366149902mA,32.375°,-1.04041695594787mA,32.6875°,-0.493152618408203mA,35.8125°,-0.0143450051546096mA,36.75°,0.0403822213411331mA,35.875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0833253860473632mA,29,0,FALSE
776,2022-10-26T08:30:21.634Z,0.0797677785158157mA,30.375°,-1.76613926887512mA,32.375°,-1.34474778175354mA,32.6875°,-0.877297699451446mA,35.8125°,-0.0781246349215507mA,36.75°,-0.160713449120521mA,35.875°,0.407509446144104m/s,6.85358868639365e-16m/s,0.0126487901434302m/s,-0.18324738740921m/s,-0.0126502867788076m/s,-0.209678247570991m/s,0.0877379775047302mA,30,0,FALSE
777,2022-10-26T08:30:22.638Z,0.604218363761901mA,30.4375°,-2.11880636215209mA,32.4375°,-0.653330743312835mA,32.75°,-0.0313042812049388mA,35.8125°,-0.700451672077179mA,36.75°,0.105225138366222mA,35.875°,0.0m/s,0.00375105161219835m/s,0.00185695837717503m/s,0.00149671256076544m/s,0.00387473264709115m/s,0.00145431701093912m/s,0.472709417343139mA,30,0,FALSE
778,2022-10-26T08:30:23.638Z,0.544874727725982mA,30.4375°,-2.23112249374389mA,32.4375°,-1.82781720161437mA,32.75°,0.0952274724841117mA,35.8125°,-1.79775524139404mA,36.75°,0.0562424287199974mA,35.9375°,0.126755103468894m/s,0.0208761934190988m/s,-2.57300925254821m/s,0.418274939060211m/s,0.00174433086067438m/s,-0.493701756000518m/s,0.0907052159309387mA,30,0,FALSE
779,2022-10-26T08:30:24.642Z,-0.399798721075058mA,30.5°,-4.21923303604126mA,32.375°,-1.48871946334838mA,32.6875°,-1.48440694808959mA,35.8125°,0.359430879354476mA,36.75°,0.20134899020195mA,35.875°,-0.096473827958107m/s,0.0844073891639709m/s,-0.010244240052998m/s,-0.377139449119567m/s,0.0222746562212705m/s,0.407190680503845m/s,0.088331401348114mA,30,0,FALSE
780,2022-10-26T08:30:25.643Z,-0.0770907998085022mA,30.5°,-2.72548389434814mA,32.375°,-1.72332394123077mA,32.75°,-1.90895462036132mA,35.8125°,0.643131077289581mA,36.75°,0.254181206226348mA,35.875°,0.138908207416534m/s,0.076428048312664m/s,-0.0015887978952378m/s,-0.32366594672203m/s,0.0131829669699072m/s,0.214651346206665m/s,0.0857853293418884mA,30,0,FALSE
781,2022-10-26T08:30:26.646Z,-0.154928565025329mA,30.4375°,-2.12583923339843mA,32.375°,-1.14865922927856mA,32.75°,-0.604143977165222mA,35.875°,0.0193955525755882mA,36.75°,-0.0475741699337959mA,35.9375°,4.03432604798581e-05m/s,-0.00041311013046652m/s,0.000380927405785769m/s,7.89374171290546e-05m/s,-5.9432224428775e-32m/s,-5.40224536962341e-05m/s,0.169721126556396mA,30,0,FALSE
782,2022-10-26T08:30:27.651Z,-0.099624216556549mA,30.4375°,-1.76376569271087mA,32.375°,-1.16096532344818mA,32.6875°,-0.556585729122161mA,35.8125°,-0.000582439359277486mA,36.75°,0.0421091131865978mA,35.9375°,-2.4383178242715e-05m/s,0.0m/s,0.0m/s,0.0m/s,6.35859565604968e-23m/s,0.0m/s,0.0869722962379455mA,30,0,FALSE
783,2022-10-26T08:30:28.663Z,-0.0803970023989677mA,30.5°,-1.82771968841552mA,32.4375°,-1.16939079761505mA,32.6875°,-0.55799263715744mA,35.875°,-0.0039302185177803mA,36.75°,0.00218118820339441mA,35.9375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,2.01413081803165e-18m/s,0.0m/s,0.0768738985061645mA,30,0,FALSE
784,2022-10-26T08:30:29.668Z,-0.246837720274925mA,30.5°,-2.54698610305786mA,32.4375°,-1.43741726875305mA,32.75°,-0.229496717453002mA,35.875°,0.136042088270187mA,36.8125°,-0.140418469905853mA,35.9375°,-0.134137213230133m/s,0.00400562863796949m/s,-0.0158138871192932m/s,0.261397123336792m/s,-0.0092193279415369m/s,-0.120831176638603m/s,0.0862926840782165mA,30,0,FALSE
785,2022-10-26T08:30:30.684Z,-0.295570522546768mA,30.5°,-1.83608269691467mA,32.4375°,-1.9687613248825mA,32.75°,-0.228308498859405mA,35.875°,0.180582672357559mA,36.75°,-0.171275839209556mA,35.9375°,0.0670968741178512m/s,0.00671490933746099m/s,-0.024862365797162m/s,0.572160601615905m/s,-0.0208066720515489m/s,-0.617869675159454m/s,0.082559585571289mA,30,0,FALSE
786,2022-10-26T08:30:31.688Z,0.688787937164306mA,30.5°,-2.06019926071167mA,32.4375°,-0.59171450138092mA,32.75°,-0.558911502361297mA,35.875°,-0.149338543415069mA,36.8125°,-0.0326613113284111mA,35.9375°,6.33017189102247e-05m/s,-0.0125821167603135m/s,2.56705594062805m/s,-0.591465234756469m/s,0.0m/s,0.634330213069915m/s,0.0863787531852722mA,30,0,FALSE
787,2022-10-26T08:30:32.695Z,-0.0838549062609672mA,30.5625°,-1.97124588489532mA,32.4375°,-0.92762279510498mA,32.75°,-0.932581186294555mA,35.875°,-0.209793090820312mA,36.8125°,-0.195920050144195mA,35.9375°,0.199371352791786m/s,-0.00519115757197141m/s,-0.000871550641022622m/s,-0.302447974681854m/s,-0.0701906383037567m/s,0.0574984028935432m/s,0.0781469941139221mA,30,0,FALSE
788,2022-10-26T08:30:33.700Z,-1.21563076972961mA,30.5°,-1.85943353176116mA,32.4375°,-1.61898255348205mA,32.75°,-0.0541118830442428mA,35.875°,0.349348723888397mA,36.75°,0.0729893296957016mA,35.9375°,0.113261587917804m/s,0.150050684809684m/s,-2.57251405715942m/s,0.391293585300445m/s,0.0m/s,-0.4996238052845m/s,0.0941033363342285mA,30,0,FALSE
